fighter_1,fighter_2,age_1,age_2,height_1,height_2,gym_score_1,gym_score_2,country_score_1,country_score_2,style_score_1,style_score_2,win_rate_1,win_rate_2,total_fights_1,total_fights_2,result
brendan schaub,ben rothwell,29.0,31,76.0,76.0,0.6701461225532226,0.783356638808494,1.274193758222465,1.274193758222465,0.7274917254889377,0.7468919244703861,0.6666666666666666,0.7826086956521741,15,46,-1
jason lambert,branden lee hinkle,29.0,33,70.0,74.0,0.7052038054769673,0.6218090468602647,1.274193758222465,1.274193758222465,0.900732763604033,0.9340826698197278,0.6666666666666666,0.6071428571428571,39,28,1
hatsu hioki,daniel hooker,32.0,25,71.0,72.0,0.7080650163270518,0.6807479431563201,0.6958320965812744,0.6173859496074307,0.8781995850704947,0.7468919244703861,0.7073170731707317,0.68,41,25,-1
yves jabouin,dustin pague,34.0,26,66.0,69.0,0.7516312898150775,0.5224870735911027,0.7306421727422159,1.274193758222465,0.900732763604033,0.7274917254889377,0.6451612903225806,0.5217391304347826,31,23,1
tai bowden,steve nelmark,,0,,72.0,0.0,0.0,0.0,1.274193758222465,0.9340826698197278,0.7440580190442426,0.5,0.6666666666666666,2,3,-1
brandon thatch,justin edwards,28.0,30,74.0,70.0,0.7427178000225407,0.6142437564988963,1.274193758222465,1.274193758222465,0.7440580190442426,0.9340826698197278,0.6875,0.6,16,15,1
alexander yakovlev,george sullivan,32.0,35,73.0,72.0,0.8152519595502612,0.7225039677472317,0.8398920709044124,1.274193758222465,0.766074358823491,0.8781995850704947,0.7419354838709677,0.68,31,25,1
john howard,daniel roberts,27.0,30,67.0,70.0,0.6866810714978254,0.6976502119172276,1.274193758222465,1.274193758222465,0.6457304203132154,0.9340826698197278,0.6585365853658537,0.6818181818181818,41,22,1
john moraga,willie gates,30.0,27,66.0,68.0,0.667397764256403,0.5721765145848915,1.274193758222465,1.274193758222465,0.9340826698197278,0.900732763604033,0.7307692307692307,0.5714285714285714,26,21,1
miesha tate,liz carmouche,28.0,30,66.0,66.0,0.7244721593929946,0.5924049772217311,1.274193758222465,1.274193758222465,0.9340826698197278,0.900732763604033,0.72,0.6666666666666666,25,18,1
jon jones,vladimir matyushenko,23.0,39,76.0,73.0,0.732425597049973,0.7721765145848916,1.274193758222465,0.6848785266126785,0.9340826698197278,0.9340826698197278,0.9565217391304348,0.7714285714285715,23,35,1
tor troeng,adam cella,,0,74.0,74.0,0.7120222021021139,0.6567892840144149,0.7296460731164326,1.274193758222465,0.8781995850704947,0.900732763604033,0.6956521739130435,0.5,23,18,1
marcus brimage,jim hettes,27.0,25,64.0,69.0,0.7357881938413439,0.7864622288706058,1.274193758222465,1.274193758222465,0.7461020623994898,0.7479316717432264,0.5,0.7857142857142857,14,14,1
robbie peralta,akira corassani,27.0,31,68.0,68.0,0.7194446042613581,0.7084598237200639,1.274193758222465,0.7296460731164326,0.6862989651458709,0.6862989651458709,0.6785714285714286,0.6666666666666666,28,18,-1
daniel sarafian,eddie mendez,,0,69.0,69.0,0.7590893336008903,0.7280206704290474,0.847999030848203,1.274193758222465,0.7479316717432264,0.7468919244703861,0.6470588235294118,0.7272727272727273,17,11,1
gunnar nelson,rick story,26.0,30,71.0,70.0,0.8507479431563201,0.7014824401435379,0.8506671114076051,1.274193758222465,0.7440580190442426,0.9340826698197278,0.85,0.6774193548387096,20,31,-1
royce gracie,art jimmerson,27.0,30,72.0,73.0,0.7264958863126402,0.0,0.847999030848203,1.274193758222465,0.8781995850704947,0.7274917254889377,0.8823529411764706,0.0,17,1,1
anthony macias,oleg taktarov,26.0,28,70.0,72.0,0.591657034065411,0.668910496135627,1.274193758222465,0.8398920709044124,0.7479316717432264,0.7479316717432264,0.5909090909090909,0.7727272727272727,44,22,-1
evan tanner,rich franklin,34.0,31,72.0,73.0,0.0,0.7095609026396921,1.274193758222465,1.274193758222465,0.9340826698197278,0.7440580190442426,0.8,0.8055555555555556,40,36,-1
david hood,scott bessac,,0,72.0,76.0,0.0,0.0,1.274193758222465,1.274193758222465,0.6511695137976347,0.9340826698197278,0.25,0.4,4,10,-1
stefan struve,chase gormley,,0,84.0,75.0,0.718696661105038,0.6701461225532226,0.7460416873660454,1.274193758222465,0.7468919244703861,0.9340826698197278,0.7179487179487181,0.6086956521739131,39,23,1
bobby hoffman,mark robinson,35.0,31,74.0,72.0,0.783356638808494,1.0007479431563202,1.274193758222465,1.274193758222465,0.7292438179428982,0.900732763604033,0.7826086956521741,1.0,46,1,0
matt brown,johny hendricks,34.0,32,72.0,69.0,0.6142437564988963,0.7180254300673149,1.274193758222465,1.274193758222465,0.6457304203132154,0.9340826698197278,0.5675675675675675,0.6923076923076923,37,26,-1
tim sylvia,assuerio silva,32.0,32,80.0,73.0,0.7095609026396921,0.0,1.274193758222465,0.847999030848203,0.7440580190442426,0.8781995850704947,0.7560975609756098,0.6666666666666666,41,24,1
pat schilling,max holloway,24.0,21,68.0,71.0,0.7150336574420344,0.839333724150478,1.274193758222465,1.274193758222465,0.900732763604033,0.7468919244703861,0.7142857142857143,0.8695652173913043,7,23,-1
chad laprise,francisco trinaldo,29.0,37,70.0,68.0,0.7165295437546747,0.7714164834583682,0.7306421727422159,0.847999030848203,0.900732763604033,0.7468919244703861,0.7647058823529411,0.7931034482758621,17,29,-1
ross pearson,dennis siver,26.0,31,68.0,67.0,0.7052038054769673,0.6772185313916143,0.7161993241395903,0.7148740185764869,0.6862989651458709,0.6862989651458709,0.5714285714285714,0.6764705882352942,35,34,1
nick diaz,karo parisyan,21.0,22,73.0,70.0,0.6976502119172276,0.0,1.274193758222465,1.274193758222465,0.8781995850704947,0.7479316717432264,0.7428571428571429,0.6666666666666666,35,36,-1
francimar barroso,hans stringer,34.0,27,73.0,74.0,0.785262088888584,0.7263644380937496,0.847999030848203,0.7460416873660454,0.8781995850704947,0.7468919244703861,0.7586206896551724,0.7333333333333333,29,30,-1
naoyuki kotani,dennis siver,26.0,28,68.0,67.0,0.6930556354640124,0.6772185313916143,0.6958320965812744,0.7148740185764869,0.900732763604033,0.6862989651458709,0.6923076923076923,0.6764705882352942,52,34,-1
jason macdonald,nate quarry,34.0,37,74.0,72.0,0.6105040407172957,0.6741460982298678,0.7306421727422159,1.274193758222465,0.8781995850704947,0.900732763604033,0.6097560975609756,0.75,41,16,-1
matt lindland,murilo bustamante,32.0,36,72.0,73.0,0.6741460982298678,0.6681625529793068,1.274193758222465,0.847999030848203,0.9340826698197278,0.8781995850704947,0.7096774193548387,0.6521739130434783,31,23,-1
christian wellisch,anthony perosh,,34,74.0,75.0,0.7161473349170837,0.6007479431563201,1.274193758222465,0.6651394139302744,0.7468919244703861,0.7440580190442426,0.6153846153846154,0.6,13,25,1
jake o'brien,jon jones,25.0,22,75.0,76.0,0.6260686957022036,0.732425597049973,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.7894736842105263,0.9565217391304348,19,23,-1
joanna jedrzejczyk,juliana lima,27.0,32,66.0,65.0,0.8340812764896535,0.643605086013463,0.7662704713940749,0.847999030848203,0.7461020623994898,0.8781995850704947,0.8333333333333334,0.6428571428571429,18,14,1
cal worsham,zane frazier,,30,70.0,78.0,0.5659653344606679,0.0,1.274193758222465,1.274193758222465,0.6862989651458709,0.7440580190442426,0.5652173913043478,0.26666666666666666,23,15,1
chris indich,richard walsh,27.0,26,70.0,72.0,0.6007479431563201,0.643605086013463,0.6651394139302744,0.6651394139302744,0.8781995850704947,0.7461020623994898,0.6,0.6428571428571429,10,14,-1
kazuki tokudome,johnny case,27.0,25,71.0,73.0,0.643605086013463,0.7590893336008903,0.6958320965812744,1.274193758222465,0.7479316717432264,0.900732763604033,0.6428571428571429,0.7931034482758621,28,29,-1
jim alers,chas skelly,29.0,30,69.0,71.0,0.7785257209340979,0.7180254300673149,1.274193758222465,1.274193758222465,0.8781995850704947,0.9340826698197278,0.7777777777777778,0.8095238095238095,18,21,-1
joshua burkman,forrest petz,27.0,32,70.0,69.0,0.6642335429420945,0.7262921702161161,1.274193758222465,1.274193758222465,0.9340826698197278,0.900732763604033,0.6222222222222222,0.7222222222222222,45,36,1
michael bisping,luke rockhold,35.0,30,74.0,75.0,0.7699787123870894,0.7161473349170837,0.7161993241395903,1.274193758222465,0.7289114492815056,0.9340826698197278,0.7692307692307693,0.8,39,20,-1
rob font,george roop,27.0,33,68.0,73.0,0.6746335636700567,0.6503919776171085,1.274193758222465,1.274193758222465,0.900732763604033,0.6862989651458709,0.8,0.5357142857142857,20,28,1
josh neer,drew fickett,22.0,26,71.0,70.0,0.6976502119172276,0.6674146098229867,1.274193758222465,1.274193758222465,0.9340826698197278,0.9340826698197278,0.6923076923076923,0.6666666666666666,52,63,-1
kyle noke,patrick cote,34.0,34,73.0,71.0,0.732425597049973,0.6772185313916143,0.6651394139302744,0.7306421727422159,0.900732763604033,0.7274917254889377,0.6875,0.6764705882352942,32,34,-1
uriah hall,chris leben,29.0,33,72.0,71.0,0.7671805759966543,0.7052038054769673,1.274193758222465,1.274193758222465,0.7440580190442426,0.9340826698197278,0.5909090909090909,0.6666666666666666,22,33,1
stipe miocic,shane del rosario,30.0,29,76.0,75.0,0.7262921702161161,0.6741305160807778,1.274193758222465,1.274193758222465,0.9340826698197278,0.7468919244703861,0.8571428571428571,0.8461538461538461,21,13,1
bob cook,tiki ghosn,,23,69.0,70.0,0.7161473349170837,0.0,1.274193758222465,1.274193758222465,0.7468919244703861,0.7461020623994898,1.0,0.5882352941176471,5,17,1
sam stout,spencer fisher,28.0,36,69.0,67.0,0.6078776322858618,0.0,0.7306421727422159,1.274193758222465,0.7468919244703861,0.7440580190442426,0.625,0.7272727272727273,32,33,1
