pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/ufc-on-fuel-tv-9-mousasi-vs-latifi-27589,27589,1,ufc on fuel tv 9 - mousasi vs. latifi,ultimate fighting championship,4/6/2013,"ericsson globe arena, stockholm, sweden, sweden",/fighter/papy-abedi-20812,/fighter/besam-yousef-32445,papy abedi,besam yousef,win,loss,20812,32445,decision,split,robert sundel,3,5:00
/events/ufc-fight-night-48-bisping-vs-le-37741,37741,6,ufc fight night 48 - bisping vs. le,ultimate fighting championship,8/23/2014,"cotai arena, macau, china, china",/fighter/sai-wang-47118,/fighter/danny-mitchell-40523,sai wang,danny mitchell,win,loss,47118,40523,decision,unanimous,leon roberts,3,5:00
/events/ufc-166-velasquez-vs-dos-santos-3-30813,30813,4,ufc 166 - velasquez vs. dos santos 3,ultimate fighting championship,10/19/2013,"toyota center, houston, texas, united states",/fighter/adlan-amagov-41523,/fighter/tj-waldburger-15125,adlan amagov,t.j. waldburger,win,loss,41523,15125,ko,punches,jay stafin,1,3:00
/events/ufc-fight-night-13-florian-vs-lauzon-6552,6552,1,ufc fight night 13 - florian vs. lauzon,ultimate fighting championship,4/2/2008,"broomfield event center, broomfield, colorado, united states",/fighter/anthony-johnson-17662,/fighter/tom-speer-16635,anthony johnson,tom speer,win,loss,17662,16635,ko,punches,tim mills,1,0:51
/events/ufc-fight-night-33-hunt-vs-bigfoot-32293,32293,9,ufc fight night 33 - hunt vs. bigfoot,ultimate fighting championship,12/7/2013,"brisbane entertainment centre, brisbane, queensland, australia",/fighter/anthony-perosh-9491,/fighter/ryan-bader-22858,anthony perosh,ryan bader,loss,win,9491,22858,decision,unanimous,john sharp,3,5:00
/events/ufc-fight-night-63-mendes-vs-lamas-42187,42187,5,ufc fight night 63 - mendes vs. lamas,ultimate fighting championship,4/4/2015,"patriot center, fairfax, virginia, united states",/fighter/dustin-poirier-50529,/fighter/carlos-diego-ferreira-26358,dustin poirier,carlos diego ferreira,win,loss,50529,26358,ko,punches,todd mcgovern,1,3:45
/events/ufc-124-st-pierre-vs-koscheck-2-14504,14504,9,ufc 124 - st. pierre vs. koscheck 2,ultimate fighting championship,12/11/2010,"bell centre, montreal, quebec, canada",/fighter/jim-miller-14463,/fighter/charles-oliveira-30300,jim miller,charles oliveira,win,loss,14463,30300,submission,kneebar,dan miragliotta,1,1:59
/events/ufc-167-st-pierre-vs-hendricks-30815,30815,9,ufc 167 - st. pierre vs. hendricks,ultimate fighting championship,11/16/2013,"mgm grand garden arena, las vegas, nevada, united states",/fighter/tyron-woodley-42605,/fighter/josh-koscheck-9418,tyron woodley,josh koscheck,win,loss,42605,9418,ko,punches,herb dean,1,4:38
/events/ufc-fight-night-58-machida-vs-dollaway-40613,40613,3,ufc fight night 58 - machida vs. dollaway,ultimate fighting championship,12/20/2014,"jose correa arena, barueri, sao paulo, brazil",/fighter/yuta-sasaki-63070,/fighter/leandro-issa-19521,yuta sasaki,leandro issa,loss,win,63070,19521,submission,neck crank,osiris maia,2,4:13
/events/ufc-on-fox-9-johnson-vs-benavidez-2-26217,26217,6,ufc on fox 9 - johnson vs. benavidez 2,ultimate fighting championship,12/14/2013,"sleep train arena, sacramento, california, united states",/fighter/edson-barboza-46259,/fighter/danny-castillo-26070,edson barboza,danny castillo,win,loss,46259,26070,decision,majority,mike beltran,3,5:00
/events/ufc-the-ultimate-fighter-12-finale-14462,14462,7,ufc - the ultimate fighter 12 finale,ultimate fighting championship,12/4/2010,"palms casino resort, las vegas, nevada, united states",/fighter/leonard-garcia-2815,/fighter/nam-phan-5778,leonard garcia,nam phan,win,loss,2815,5778,decision,split,herb dean,3,5:00
/events/ufc-131-dos-santos-vs-carwin-15720,15720,10,ufc 131 - dos santos vs. carwin,ultimate fighting championship,6/11/2011,"rogers arena, vancouver, british columbia, colombia",/fighter/mark-munoz-22411,/fighter/demian-maia-14637,mark munoz,demian maia,win,loss,22411,14637,decision,unanimous,jerin valel,3,5:00
/events/ufc-73-stacked-5158,5158,6,ufc 73 - stacked,ultimate fighting championship,7/7/2007,"arco arena, sacramento, california, united states",/fighter/sean-sherk-277,/fighter/hermes-franca-3068,sean sherk,hermes franca,win,loss,277,3068,decision,unanimous,john mccarthy,5,5:00
/events/ufc-fight-night-56-shogun-vs-st-preux-40223,40223,8,ufc fight night 56 - shogun vs. st. preux,ultimate fighting championship,11/8/2014,"tancredo neves municipal gymnasium, uberlandia, minas gerais, brazil",/fighter/claudio-henrique-da-silva-25830,/fighter/leon-edwards-62665,claudio henrique da silva,leon edwards,win,loss,25830,62665,decision,split,mario yamasaki,3,5:00
/events/ufc-116-lesnar-vs-carwin-12765,12765,4,ufc 116 - lesnar vs. carwin,ultimate fighting championship,7/3/2010,"mgm grand garden arena, las vegas, nevada, united states",/fighter/kendall-grove-10126,/fighter/goran-reljic-10165,kendall grove,goran reljic,win,loss,10126,10165,decision,split,mario yamasaki,3,5:00
/events/ufc-the-ultimate-fighter-21-finale-42213,42213,6,ufc - the ultimate fighter 21 finale,ultimate fighting championship,7/12/2015,"mgm grand garden arena, las vegas, nevada, united states",/fighter/maximo-blanco-36618,/fighter/mike-de-la-torre-17915,maximo blanco,mike de la torre,win,loss,36618,17915,tko,punches,yves lavigne,1,0:16
/events/ufc-the-ultimate-fighter-22-finale-47439,47439,6,ufc - the ultimate fighter 22 finale,ultimate fighting championship,12/11/2015,"the chelsea at the cosmopolitan, las vegas, nevada, united states",/fighter/tatsuya-kawajiri-1326,/fighter/jason-knight-44957,tatsuya kawajiri,jason knight,win,loss,1326,44957,decision,unanimous,john mccarthy,3,5:00
